epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3839.83,0.44951,0.21986,0.78538,0.87726,0.74655,0.81493,0.58542,0.68946,0.32246,0.83042,0.000990365,0.000990365,0.000990365
43,3931.02,0.44474,0.21624,0.78571,0.86994,0.75046,0.82741,0.58874,0.69255,0.34111,0.83263,0.000973861,0.000973861,0.000973861
44,4022.15,0.44207,0.22007,0.7847,0.83296,0.78711,0.8293,0.5921,0.68449,0.3232,0.83144,0.000957358,0.000957358,0.000957358
45,4113.36,0.44189,0.21744,0.78476,0.88321,0.73887,0.83004,0.59391,0.69265,0.33499,0.83162,0.000940855,0.000940855,0.000940855
46,4204.52,0.4395,0.21329,0.78424,0.79911,0.73774,0.79018,0.56614,0.69041,0.34201,0.83207,0.000924352,0.000924352,0.000924352
47,4295.58,0.44047,0.21417,0.78384,0.85875,0.75396,0.82278,0.59158,0.68489,0.32659,0.83065,0.000907848,0.000907848,0.000907848
48,4386.69,0.43235,0.20818,0.78392,0.80756,0.73757,0.79359,0.56558,0.69876,0.32972,0.83415,0.000891345,0.000891345,0.000891345
49,4477.95,0.43636,0.21416,0.78436,0.81813,0.74877,0.81152,0.57845,0.68454,0.33486,0.83177,0.000874842,0.000874842,0.000874842
50,4568.97,0.43652,0.21383,0.78346,0.82514,0.7647,0.81771,0.58671,0.70514,0.33459,0.83562,0.000858338,0.000858338,0.000858338
51,4660.1,0.42862,0.20754,0.78294,0.84629,0.74504,0.80483,0.57054,0.68666,0.34417,0.83202,0.000841835,0.000841835,0.000841835
52,4751.25,0.43162,0.20988,0.7839,0.87992,0.7325,0.82023,0.58898,0.70435,0.33954,0.8354,0.000825332,0.000825332,0.000825332
53,4842.37,0.42745,0.20831,0.78384,0.84016,0.75408,0.82054,0.58936,0.67201,0.32733,0.83017,0.000808828,0.000808828,0.000808828
54,4933.47,0.42845,0.20879,0.7829,0.84812,0.74648,0.81936,0.57904,0.71601,0.35191,0.83766,0.000792325,0.000792325,0.000792325
55,5025.06,0.42719,0.20908,0.78271,0.79556,0.76011,0.80309,0.57041,0.70012,0.33813,0.83388,0.000775822,0.000775822,0.000775822
56,5116.13,0.42608,0.20827,0.78297,0.84017,0.76094,0.81892,0.59701,0.67864,0.32944,0.83373,0.000759318,0.000759318,0.000759318
57,5207.12,0.42409,0.20513,0.78368,0.93159,0.73511,0.82717,0.60256,0.67402,0.32503,0.83081,0.000742815,0.000742815,0.000742815
58,5299.62,0.42073,0.20308,0.78213,0.89087,0.76511,0.83442,0.60928,0.70516,0.32687,0.83431,0.000726312,0.000726312,0.000726312
59,5392.34,0.42242,0.20522,0.78252,0.87847,0.76395,0.8346,0.59867,0.66674,0.32111,0.82892,0.000709809,0.000709809,0.000709809
60,5483.48,0.41826,0.20488,0.78281,0.8505,0.78627,0.83837,0.59481,0.70306,0.3258,0.83386,0.000693305,0.000693305,0.000693305
